NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
2,Goblet,AK_p,209,0,42,0,0,26,0,19,0,0,Goblet,AK_p,1046,0,0,10,0,0,11,0,3,0
2,Goblet,HY_p,209,60,19,11,0,0,0,0,0,0,Goblet,HP_p,239,51,0,0,10,0,9,0,0,0
12,Goblet,AK_p,269,51,19,0,0,20,0,0,0,0,Goblet,EL_p,777,0,0,14,0,0,0,37,4,0
10,Goblet,HP_p,0,14,0,0,0,0,0,19,12,13,Goblet,EL_p,0,31,37,0,0,7,15,0,0,0
130,Goblet,AK_p,478,66,21,6,0,0,0,0,0,0,Goblet,AK_p,508,0,0,0,0,0,12,0,6,14
1,Goblet,HP_p,0,0,42,0,9,0,6,0,0,19,Goblet,EM_f,209,0,0,0,6,0,15,0,0,21
0,Goblet,AK_p,299,0,58,10,0,17,0,0,0,0,Goblet,GE_p,0,70,19,0,0,0,0,0,10,5
0,Goblet,AK_p,299,62,16,9,0,0,0,0,0,0,Goblet,DF_p,0,0,0,0,17,0,0,16,7,17
1,Goblet,HP_p,0,47,0,0,10,0,0,0,4,14,Goblet,EL_p,269,33,56,10,0,0,0,0,0,0
34,Goblet,AK_p,239,0,72,10,0,0,0,42,0,0,Goblet,DF_p,209,0,39,0,10,0,0,0,10,0
4,Goblet,DF_p,747,27,0,0,5,0,16,0,0,0,Goblet,AK_p,747,35,0,0,0,0,0,21,7,0
11,Goblet,AK_p,0,0,83,8,0,0,0,19,0,14,Goblet,EL_p,508,31,0,0,0,0,0,58,0,7
10,Goblet,HP_p,0,18,58,0,16,0,0,33,0,0,Goblet,AK_p,1255,14,23,5,0,0,0,0,0,0
11,Goblet,AK_p,0,0,0,19,0,0,6,16,0,12,Goblet,EM_f,478,0,0,0,6,0,5,0,0,36
4,Goblet,AK_p,0,16,0,0,0,12,17,42,0,0,Goblet,AK_p,0,0,0,0,0,7,17,0,5,13
1,Goblet,DF_p,0,14,39,0,0,0,0,42,10,0,Goblet,AK_p,448,0,0,11,0,20,0,16,0,0
13,Goblet,PH_p,0,56,0,0,11,0,0,16,0,19,Goblet,AK_p,478,33,0,0,0,0,17,0,4,0
5,Goblet,AK_p,0,64,32,10,0,0,0,0,3,0,Goblet,AK_p,538,0,0,10,0,0,0,42,0,15
7,Goblet,AK_p,418,0,0,0,0,15,12,0,0,19,Goblet,EL_p,0,0,81,0,0,5,0,0,6,8
13,Goblet,HP_p,0,19,0,0,0,12,11,0,0,19,Goblet,DF_p,0,0,58,0,4,0,10,0,11,0
2,Goblet,DF_p,0,0,21,19,0,0,6,0,6,0,Goblet,EL_p,0,47,0,10,0,0,12,35,0,0
0,Goblet,EL_p,598,0,0,16,0,7,0,0,0,13,Goblet,EL_p,239,0,0,0,0,13,16,0,8,0
7,Goblet,PY_p,538,0,0,0,0,16,6,0,7,0,Goblet,AK_p,777,0,32,0,0,0,11,0,0,7
13,Goblet,PY_p,0,0,0,10,0,5,17,40,0,0,Goblet,DF_p,0,18,65,10,9,0,0,0,0,0
